"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.388202500E-1,2.336448669E1,-1.001509285E1,-3.557711792E1,4.372565200E1
7.488042500E-1,2.343312073E1,-1.014274406E1,-3.547205353E1,4.370644101E1
7.587882500E-1,2.356961060E1,-1.008392143E1,-3.543068695E1,4.373266048E1
7.687732500E-1,2.350048828E1,-1.004866600E1,-3.527207947E1,4.355879048E1
7.787572500E-1,2.330662537E1,-1.004233170E1,-3.551767731E1,4.365263581E1
7.887422500E-1,2.336094666E1,-9.979497910E0,-3.533345032E1,4.351754725E1
7.987262500E-1,2.344042969E1,-9.984504700E0,-3.541239166E1,4.362546918E1
8.087112500E-1,2.346519470E1,-1.005225563E1,-3.547961426E1,4.370888049E1
8.186952500E-1,2.341291809E1,-1.006393051E1,-3.567074585E1,4.383890442E1
8.286792500E-1,2.344531250E1,-9.951980591E0,-3.539598083E1,4.360733946E1
8.386642500E-1,2.346510315E1,-9.845453262E0,-3.547367859E1,4.365691112E1
8.486482500E-1,2.343080139E1,-9.853853226E0,-3.543001556E1,4.360489514E1
8.586332500E-1,2.334371948E1,-9.891294479E0,-3.552087402E1,4.364057100E1
8.686172500E-1,2.327169800E1,-9.867195129E0,-3.561865997E1,4.367633691E1
8.786022500E-1,2.326152039E1,-9.858982086E0,-3.549317169E1,4.356676595E1
8.885862500E-1,2.321784973E1,-9.875965118E0,-3.572357941E1,4.373531021E1
8.985702500E-1,2.327316284E1,-9.866750717E0,-3.552489471E1,4.360058512E1
9.085552500E-1,2.332650757E1,-9.997358322E0,-3.553631592E1,4.366809909E1
9.185392500E-1,2.335491943E1,-9.996913910E0,-3.561400604E1,4.374640529E1
9.285242500E-1,2.338888550E1,-1.005645370E1,-3.559428406E1,4.376214441E1
9.385082500E-1,2.338613892E1,-1.002007484E1,-3.557810974E1,4.373917336E1
9.484932500E-1,2.348289490E1,-9.882812500E0,-3.552661896E1,4.371792527E1
9.584772500E-1,2.345458984E1,-1.005623627E1,-3.542967987E1,4.366357622E1
9.684622500E-1,2.328569031E1,-9.961011887E0,-3.550675964E1,4.361393254E1
9.784462500E-1,2.328068542E1,-9.852651596E0,-3.560470581E1,4.366646463E1
9.884303750E-1,2.331455994E1,-9.862648010E0,-3.553137970E1,4.362704980E1
9.984153750E-1,2.331455994E1,-9.862648010E0,-3.553137970E1,4.362704980E1
1.008399375E0,2.331095886E1,-9.776647568E0,-3.558571625E1,4.365004973E1
1.018384375E0,2.329557800E1,-9.839685440E0,-3.556079865E1,4.363569370E1
1.028368375E0,2.326553345E1,-9.877841949E0,-3.548228455E1,4.356431251E1
1.038353375E0,2.323110962E1,-9.798862457E0,-3.565229797E1,4.366678956E1
1.048337375E0,2.327354431E1,-9.703586578E0,-3.578665924E1,4.377787611E1
1.058321375E0,2.326576233E1,-9.882040024E0,-3.562799072E1,4.368414054E1
1.068306375E0,2.328224182E1,-9.802667618E0,-3.561106873E1,4.366123329E1
1.078290375E0,2.317666626E1,-9.787937164E0,-3.574761963E1,4.371331470E1
1.088275375E0,2.328594971E1,-9.801908493E0,-3.568888855E1,4.372653233E1
1.098259375E0,2.327066040E1,-9.914564133E0,-3.552369690E1,4.360911899E1
1.108244375E0,2.324176025E1,-9.748807907E0,-3.542976379E1,4.347972904E1
1.118228375E0,2.326507568E1,-9.812417984E0,-3.539914703E1,4.348156970E1
1.128212375E0,2.324247742E1,-9.948108673E0,-3.547791290E1,4.356443419E1
1.138197375E0,2.328341675E1,-9.966838837E0,-3.550028229E1,4.360877680E1
1.148181375E0,2.342369080E1,-1.010478783E1,-3.577763367E1,4.394104116E1
1.158166375E0,2.323971558E1,-1.002755356E1,-3.551946259E1,4.361500238E1
