"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.244911917E0,2.317111206E1,-1.009112549E1,-3.531476593E1,4.342653498E1
3.254895917E0,2.316403198E1,-9.936851501E0,-3.531353760E1,4.338616523E1
3.264880917E0,2.306571960E1,-9.846376419E0,-3.549717712E1,4.346295127E1
3.274864917E0,2.312361145E1,-9.876056671E0,-3.543875122E1,4.345276735E1
3.284848917E0,2.307507324E1,-9.901817322E0,-3.524459076E1,4.327454412E1
3.294833917E0,2.317269897E1,-1.004454041E1,-3.519573975E1,4.331982071E1
3.304817917E0,2.310717773E1,-9.876752853E0,-3.519946289E1,4.324920921E1
3.314802917E0,2.303091431E1,-1.005033112E1,-3.511449432E1,4.317939185E1
3.324786917E0,2.307989502E1,-1.011640167E1,-3.513622284E1,4.323860882E1
3.334771917E0,2.317829895E1,-1.005247307E1,-3.515065002E1,4.328803477E1
3.344755917E0,2.312303162E1,-9.998703003E0,-3.517121887E1,4.326272402E1
3.354739917E0,2.308576965E1,-9.965990067E0,-3.498185730E1,4.308136556E1
3.364724917E0,2.321253967E1,-9.998956680E0,-3.535260773E1,4.345811784E1
3.374708917E0,2.325086975E1,-1.013412476E1,-3.534510040E1,4.350378778E1
3.384693917E0,2.311764526E1,-1.010030746E1,-3.535427856E1,4.343232375E1
3.394677917E0,2.307617188E1,-1.006318665E1,-3.523654175E1,4.330578839E1
3.404662917E0,2.295169067E1,-1.008362198E1,-3.534320068E1,4.333129783E1
3.414646917E0,2.324702454E1,-1.020352173E1,-3.499920654E1,4.323748910E1
3.424630917E0,2.326092529E1,-1.021492958E1,-3.514315796E1,4.336423622E1
3.434615917E0,2.316006470E1,-1.018755722E1,-3.488793945E1,4.309690520E1
3.444599917E0,2.304621887E1,-1.010833359E1,-3.504975891E1,4.314849026E1
3.454584917E0,2.318287659E1,-1.016248131E1,-3.478102875E1,4.301676131E1
3.464568917E0,2.306800842E1,-1.016194344E1,-3.476885223E1,4.294497867E1
3.474553917E0,2.306944275E1,-1.013197899E1,-3.499352264E1,4.312079329E1
3.484537917E0,2.299513245E1,-1.003583908E1,-3.519747925E1,4.322449222E1
3.494521917E0,2.313969421E1,-1.005350494E1,-3.504863739E1,4.318478196E1
3.504506917E0,2.299613953E1,-1.011687851E1,-3.473868561E1,4.287131840E1
3.514490917E0,2.304759216E1,-1.000354195E1,-3.489987946E1,4.300306898E1
3.524475917E0,2.311726379E1,-1.007863235E1,-3.492012024E1,4.307437188E1
3.534459917E0,2.314599609E1,-1.000779724E1,-3.491623688E1,4.307013743E1
3.544444917E0,2.312527466E1,-1.001022148E1,-3.491967773E1,4.306235891E1
3.554428917E0,2.317408752E1,-1.001083565E1,-3.505998993E1,4.320252373E1
3.564412917E0,2.300028992E1,-9.946409225E0,-3.513204956E1,4.315327681E1
3.574397917E0,2.305688477E1,-1.009995651E1,-3.494828796E1,4.306984895E1
3.584381917E0,2.318115234E1,-1.005845833E1,-3.506502533E1,4.322145774E1
3.594366917E0,2.311627197E1,-1.008179665E1,-3.496183014E1,4.310840081E1
3.604350917E0,2.321589661E1,-9.986581802E0,-3.494649506E1,4.312733690E1
3.614335917E0,2.328283691E1,-9.950237274E0,-3.506826782E1,4.325368336E1
3.624319917E0,2.331649780E1,-9.922504425E0,-3.517857361E1,4.335489828E1
3.634303917E0,2.330566406E1,-9.987747192E0,-3.524788666E1,4.342030153E1
3.644288917E0,2.324681091E1,-9.946191788E0,-3.527223206E1,4.339897813E1
3.654272917E0,2.319584656E1,-9.804737091E0,-3.515264893E1,4.324221194E1
3.664257917E0,2.329577637E1,-9.862524033E0,-3.520854187E1,4.335439998E1
3.674241917E0,2.325779724E1,-1.001524734E1,-3.477304840E1,4.301622028E1
3.684226917E0,2.311547852E1,-1.006687927E1,-3.484029388E1,4.300597032E1
3.694210917E0,2.316163635E1,-1.008911705E1,-3.486303711E1,4.305441949E1
3.704194917E0,2.332409668E1,-1.013302994E1,-3.510371399E1,4.334700125E1
3.714179917E0,2.323425293E1,-1.010562897E1,-3.495891571E1,4.317499315E1
3.724163917E0,2.324935913E1,-1.016704941E1,-3.515621948E1,4.335736802E1
3.734148917E0,2.321049500E1,-1.014599609E1,-3.491259766E1,4.313418354E1
3.744132917E0,2.320573425E1,-1.013717651E1,-3.518996429E1,4.335437737E1
3.754117917E0,2.332867432E1,-1.026761246E1,-3.499958038E1,4.329689987E1
3.764101917E0,2.331414795E1,-1.009329414E1,-3.489315796E1,4.316198042E1
3.774086917E0,2.325805664E1,-1.022989655E1,-3.497917938E1,4.323344738E1
3.784070917E0,2.326875305E1,-1.009047318E1,-3.502061462E1,4.323998111E1
3.794054917E0,2.324114990E1,-1.017559433E1,-3.493441010E1,4.317530286E1
3.804039917E0,2.325212097E1,-1.007051086E1,-3.488125610E1,4.311355177E1
3.814023917E0,2.321997070E1,-1.005682373E1,-3.481677246E1,4.304084557E1
3.824008917E0,2.312651062E1,-1.010830498E1,-3.477640533E1,4.296989284E1
3.833992917E0,2.320205688E1,-1.022663689E1,-3.478253174E1,4.304351356E1
3.843976917E0,2.323558044E1,-1.020388031E1,-3.482907867E1,4.309380574E1
3.853961917E0,2.329191589E1,-1.025795364E1,-3.483364868E1,4.314072368E1
3.863945917E0,2.323045349E1,-1.017817879E1,-3.513129425E1,4.332963338E1
3.873930917E0,2.323229980E1,-1.020799065E1,-3.514670563E1,4.335012969E1
3.883914917E0,2.321092224E1,-1.012925720E1,-3.509211731E1,4.327592241E1
3.893899917E0,2.327650452E1,-1.023742485E1,-3.503296661E1,4.328867381E1
3.903883917E0,2.318504333E1,-1.007261848E1,-3.481523132E1,4.302446060E1
3.913868917E0,2.320507812E1,-1.009595680E1,-3.477202606E1,4.300578788E1
3.923852917E0,2.330139160E1,-1.001021767E1,-3.501338196E1,4.323304551E1
3.933836917E0,2.335188293E1,-1.010555267E1,-3.486994934E1,4.316649162E1
3.943821917E0,2.338909912E1,-1.022087669E1,-3.496636200E1,4.329160137E1
3.953805917E0,2.318324280E1,-1.012100410E1,-3.476936340E1,4.299774532E1
3.963790917E0,2.312825012E1,-1.024038124E1,-3.472461700E1,4.296021867E1
3.973774917E0,2.305728149E1,-1.011580276E1,-3.497650146E1,4.309667447E1
3.983760125E0,2.315127563E1,-1.012742615E1,-3.513811493E1,4.328086696E1
3.993744125E0,2.307347107E1,-1.015864754E1,-3.513800049E1,4.324652894E1
4.003728125E0,2.317770386E1,-1.014868164E1,-3.514091492E1,4.330225856E1
4.013713125E0,2.310015869E1,-1.005984879E1,-3.500060272E1,4.312609512E1
4.023697125E0,2.317312622E1,-9.983261108E0,-3.497163391E1,4.312394300E1
4.033682125E0,2.318727112E1,-1.008782768E1,-3.496761322E1,4.315261039E1
4.043666125E0,2.314883423E1,-1.002474785E1,-3.506634521E1,4.319736870E1
4.053651125E0,2.313235474E1,-9.978826523E0,-3.515777588E1,4.325219092E1
4.063635125E0,2.317636108E1,-1.004348946E1,-3.507962799E1,4.322725637E1
4.073619125E0,2.319172668E1,-9.998003006E0,-3.498822021E1,4.315080306E1
4.083604125E0,2.316735840E1,-1.015600014E1,-3.491767883E1,4.311745736E1
4.093588125E0,2.308834839E1,-1.003075600E1,-3.508434296E1,4.318100297E1
4.103573125E0,2.320515442E1,-1.005724335E1,-3.504913330E1,4.322116473E1
4.113557125E0,2.309355164E1,-1.016441154E1,-3.502227783E1,4.316465375E1
4.123542125E0,2.302445984E1,-1.019532776E1,-3.501237488E1,4.312698521E1
4.133526125E0,2.313861084E1,-1.014034462E1,-3.486140442E1,4.305275158E1
4.143510125E0,2.326307678E1,-1.029105568E1,-3.476771545E1,4.307981669E1
4.153495125E0,2.312751770E1,-1.016185951E1,-3.487520599E1,4.306304050E1
4.163479125E0,2.313159180E1,-1.014057922E1,-3.468276978E1,4.290450332E1
4.173464125E0,2.312623596E1,-1.014212990E1,-3.479710388E1,4.299446508E1
4.183448125E0,2.306869507E1,-1.015997124E1,-3.491425323E1,4.306268439E1
4.193433125E0,2.313232422E1,-1.013188744E1,-3.483991241E1,4.302997866E1
4.203417125E0,2.312220764E1,-1.001696205E1,-3.494272614E1,4.308097172E1
4.213401125E0,2.315618896E1,-1.015690041E1,-3.488747406E1,4.308720877E1
4.223386125E0,2.324317932E1,-1.019975090E1,-3.513779449E1,4.334679810E1
4.233370125E0,2.336763000E1,-1.015934181E1,-3.508155060E1,4.335866177E1
4.243355125E0,2.329277039E1,-1.004218674E1,-3.520041656E1,4.338741745E1
4.253339125E0,2.329277039E1,-1.004218674E1,-3.520041656E1,4.338741745E1
4.263324125E0,2.320639038E1,-9.963409424E0,-3.497708893E1,4.314166005E1
4.273308125E0,2.324670410E1,-1.002177811E1,-3.494572449E1,4.315146519E1
4.283292125E0,2.340144348E1,-1.010097313E1,-3.509239197E1,4.337203234E1
4.293277125E0,2.341595459E1,-1.004241753E1,-3.497423553E1,4.327070869E1
4.303261125E0,2.325704956E1,-9.883178711E0,-3.512363434E1,4.326935711E1
4.313246125E0,2.330516052E1,-1.002103806E1,-3.492769623E1,4.316822529E1
4.323230125E0,2.331668091E1,-9.955240250E0,-3.506472778E1,4.327019241E1
4.333215125E0,2.333798218E1,-1.014129829E1,-3.515627289E1,4.339897311E1
4.343199125E0,2.322366333E1,-1.003159332E1,-3.513305664E1,4.329322201E1
4.353184125E0,2.332029724E1,-9.977272034E0,-3.508023071E1,4.328977717E1
4.363168125E0,2.331266785E1,-1.005850410E1,-3.507500458E1,4.330023017E1
4.373152125E0,2.329354858E1,-9.880453110E0,-3.506529236E1,4.324103939E1
4.383137125E0,2.317361450E1,-9.954732895E0,-3.506174469E1,4.319072883E1
4.393121125E0,2.316734314E1,-1.002394867E1,-3.501979065E1,4.316933023E1
4.403106125E0,2.314695740E1,-9.868883133E0,-3.501758575E1,4.312085114E1
4.413090125E0,2.315161133E1,-9.932970047E0,-3.477809143E1,4.294387785E1
4.423075125E0,2.322761536E1,-9.978881836E0,-3.499292755E1,4.316949359E1
4.433059125E0,2.315519714E1,-9.959779739E0,-3.501016998E1,4.314014800E1
4.443043125E0,2.318382263E1,-9.932685852E0,-3.491442108E1,4.307162267E1
4.453028125E0,2.324832153E1,-1.010181427E1,-3.467953491E1,4.295580575E1
4.463012125E0,2.305255127E1,-1.005026436E1,-3.488430786E1,4.300398666E1
4.472997125E0,2.315383911E1,-1.005725098E1,-3.480260468E1,4.299383508E1
4.482981125E0,2.311622620E1,-1.003322601E1,-3.486116028E1,4.301541623E1
4.492966125E0,2.315115356E1,-1.010103226E1,-3.483186340E1,4.302633464E1
4.502950125E0,2.316778564E1,-1.003353691E1,-3.488898468E1,4.306575678E1
4.512934125E0,2.321563721E1,-9.978981018E0,-3.509093475E1,4.324256670E1
4.522919125E0,2.313166809E1,-1.002463913E1,-3.480496216E1,4.297618933E1
4.532903125E0,2.326791382E1,-1.005092812E1,-3.505572510E1,4.325876595E1
4.542888125E0,2.320735168E1,-9.968790054E0,-3.500707245E1,4.316773180E1
4.552872125E0,2.322743225E1,-9.952333450E0,-3.490695953E1,4.309360015E1
4.562857125E0,2.313095093E1,-9.970880508E0,-3.504694366E1,4.315955988E1
4.572841125E0,2.312942505E1,-9.972566605E0,-3.495897675E1,4.308772961E1
4.582825125E0,2.313661194E1,-1.000779343E1,-3.488202667E1,4.303736198E1
4.592810125E0,2.320314026E1,-1.000655365E1,-3.485771179E1,4.305318693E1
4.602794125E0,2.328378296E1,-1.000544739E1,-3.503511810E1,4.324006275E1
4.612779125E0,2.324444580E1,-1.006492996E1,-3.492974854E1,4.314735691E1
4.622763125E0,2.315942383E1,-1.000062180E1,-3.491753387E1,4.307673990E1
4.632748125E0,2.324557495E1,-1.014235878E1,-3.516945648E1,4.336029135E1
4.642732125E0,2.333351135E1,-1.014771271E1,-3.509245300E1,4.334638489E1
4.652716125E0,2.345710754E1,-1.006340408E1,-3.514965057E1,4.343968153E1
4.662701125E0,2.337153625E1,-1.000812340E1,-3.550146484E1,4.366629417E1
4.672685125E0,2.331698608E1,-1.013012886E1,-3.546710968E1,4.363733745E1
4.682670125E0,2.320101929E1,-1.001571846E1,-3.532662964E1,4.343469436E1
4.692654125E0,2.324153137E1,-1.016504860E1,-3.554908752E1,4.367189734E1
4.702639125E0,2.312150574E1,-9.979318619E0,-3.526799774E1,4.333615687E1
4.712623125E0,2.304429626E1,-9.964315414E0,-3.531948090E1,4.333350785E1
4.722607125E0,2.297911072E1,-9.953210831E0,-3.522095490E1,4.321598777E1
4.732592125E0,2.307482910E1,-1.005046654E1,-3.513179779E1,4.321692761E1
4.742576125E0,2.312600708E1,-9.989498138E0,-3.512377930E1,4.322362952E1
4.752561125E0,2.309329224E1,-1.007999611E1,-3.488312531E1,4.303183588E1
4.762545125E0,2.304626465E1,-1.003214645E1,-3.507643890E1,4.315241410E1
4.772530125E0,2.301458740E1,-9.956623077E0,-3.506426239E1,4.310809754E1
4.782514125E0,2.278723145E1,-9.904344559E0,-3.510488892E1,4.300822228E1
4.792498125E0,2.295584106E1,-1.000864601E1,-3.516854858E1,4.317372399E1
4.802483125E0,2.295750427E1,-9.898487091E0,-3.506797791E1,4.306727439E1
4.812467125E0,2.299273682E1,-9.962104797E0,-3.499038696E1,4.303761910E1
4.822452125E0,2.299794006E1,-1.001282692E1,-3.478156281E1,4.288261957E1
4.832436125E0,2.294514465E1,-1.007360077E1,-3.471734619E1,4.281648307E1
4.842421125E0,2.302873230E1,-9.949918747E0,-3.491049194E1,4.298913633E1
4.852405125E0,2.312632751E1,-9.897787094E0,-3.492926025E1,4.304470276E1
4.862389125E0,2.311824036E1,-9.967340469E0,-3.499707794E1,4.311144138E1
4.872374125E0,2.311427307E1,-9.994745255E0,-3.522193909E1,4.329837809E1
4.882358125E0,2.318161011E1,-9.853595734E0,-3.543016052E1,4.347156163E1
4.892343125E0,2.306826782E1,-9.983493805E0,-3.540074921E1,4.341691114E1
4.902327125E0,2.309078979E1,-9.825799942E0,-3.519740295E1,4.322716845E1
4.912312125E0,2.318061829E1,-9.883670807E0,-3.537622833E1,4.343392158E1
4.922296125E0,2.314967346E1,-9.834045410E0,-3.514010620E1,4.321392015E1
4.932280125E0,2.319985962E1,-9.949844360E0,-3.522890472E1,4.333945797E1
4.942265125E0,2.310592651E1,-9.869144440E0,-3.509317017E1,4.316033415E1
4.952249125E0,2.313221741E1,-9.854570389E0,-3.522364807E1,4.327721598E1
4.962234125E0,2.298852539E1,-9.828491211E0,-3.526837158E1,4.323111811E1
4.972218125E0,2.306982422E1,-9.936092377E0,-3.505062866E1,4.312179601E1
4.982203125E0,2.323252869E1,-1.004235268E1,-3.500093842E1,4.319334354E1
4.992187292E0,2.299093628E1,-9.974842072E0,-3.530339050E1,4.329445699E1
